name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d5860450-1_int,0.0,0.0,0.0,0.0,0.0,0.0
338972b0b,l2841632,0.0,0.19497325954591163,10.510695397276429,2.624973259545912,0.0,0.19497325954591163
 ,m1047574,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069500,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069504,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2691967,0.0,0.19651065650622423,6.620695397276428,1.6665106565062247,0.0,0.19651065650622423
 ,r42246,0.0,0.0,0.0,0.0,0.0,0.0
 ,q16642_cap,0.0,0.0,0.0,0.0,0.0,0.0
 ,q16642,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2764403,9.65069539727643,2.4153938874806844,0.0,0.19539388748068431,0.0,0.19539388748068431
 ,m1047623,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3008279,0.0,0.0,0.0,0.0,0.0,0.0
338975a0b,l2785537,6.100695397276429,1.5251738493191072,0.0,0.195173849319107,0.0,0.195173849319107
 ,l2748157,14.080695397276429,3.5360543328498695,0.0,0.19605433284986987,0.0,0.19605433284986987
 ,p827549,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1140518,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3197654,9.650695397276428,2.4262740401269935,0.0,0.19627404012699373,0.0,0.19627404012699373
 ,area_36area_37,0.0,0.0,0.0,0.0,0.0,0.0
 ,area_37area_38,0.0,0.0,0.0,0.0,0.0,0.0
