name,bus,P1,Q1,P2,Q2,P3,Q3
s35a,35,25.45,-2.02,14.55,22.02,0.0,0.0
 ,36,0.0,0.0,0.0,0.0,0.0,0.0
 ,40,0.0,0.0,0.0,0.0,0.0,0.0
s37a,37,39.07,19.54,0.0,0.0,0.0,0.0
s38b,38,0.0,0.0,20.45,10.23,0.0,0.0
s39b,39,0.0,0.0,20.0,10.0,0.0,0.0
s41c,41,0.0,0.0,0.0,0.0,20.0,10.0
s42a,42,20.0,10.0,0.0,0.0,0.0,0.0
s43b,43,0.0,0.0,41.62,20.81,0.0,0.0
 ,44,0.0,0.0,0.0,0.0,0.0,0.0
s45a,45,19.71,9.85,0.0,0.0,0.0,0.0
s47,47,34.44,24.6,35.66,25.47,35.03,25.02
s46a,46,20.0,10.0,0.0,0.0,0.0,0.0
s48,48,67.75,48.39,72.63,51.88,70.09,50.06
s49c,49,35.0,25.0,70.0,50.0,35.0,20.0
s50c,50,0.0,0.0,0.0,0.0,40.0,20.0
s51a,51,20.0,10.0,0.0,0.0,0.0,0.0
 ,151,0.0,0.0,0.0,0.0,0.0,0.0
 ,135,0.0,0.0,0.0,0.0,0.0,0.0
