name,element,length_unit,z_matrix_real,z_matrix_imag,length,from_bus,to_bus,num_phases,phases,is_switch,is_open
ln5895780-3,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.11353849004463121, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.30827065787452285], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.30827065787452285, 0.35025852041852196, 0.6920213416170082]]",0.056092185,d5895780-3_int,l2991914,3,"{'a', 'b', 'c'}",False,False
ln5651975-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.035650057,l2991914,m1047503,3,"{'a', 'b', 'c'}",False,False
ln5863706-1,line,3,"[[0.27001903752088996, 0.10995066546782975, 0.11353849004463118], [0.10995066546782975, 0.26463373510779326, 0.11074699310270608], [0.11353849004463118, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170081]]",0.023766378,m1047503,l2841635,3,"{'a', 'b', 'c'}",False,False
ln6047578-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.059466993,l2841635,l2822869,3,"{'a', 'b', 'c'}",False,False
ln5502538-1,line,3,"[[0.27001903752089, 0.10995066546782975, 0.11353849004463121], [0.10995066546782975, 0.26463373510779326, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759837, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604087, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170083]]",0.094783217,l2822869,m1026808,3,"{'a', 'b', 'c'}",False,False
ln5558792-1,line,3,"[[0.27001903752089007, 0.10995066546782976, 0.1135384900446312], [0.10995066546782976, 0.2646337351077933, 0.11074699310270611], [0.1135384900446312, 0.11074699310270611, 0.27169827938724384]]","[[0.6959739725759837, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.005029501,m1026808,m1026807,3,"{'a', 'b', 'c'}",False,False
ln6073575-2,line,3,"[[0.27001903752089, 0.10995066546782975, 0.1135384900446312], [0.10995066546782975, 0.2646337351077933, 0.11074699310270608], [0.1135384900446312, 0.11074699310270608, 0.2716982793872438]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.018347309,m1026807,n1140521,3,"{'a', 'b', 'c'}",False,False
ln6073575-3,line,3,"[[0.27001903752089, 0.10995066546782978, 0.1135384900446312], [0.10995066546782978, 0.2646337351077933, 0.1107469931027061], [0.1135384900446312, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170083]]",0.03591932,n1140521,l3254217,3,"{'a', 'b', 'c'}",False,False
ln6108143-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.11074699310270611], [0.11353849004463121, 0.11074699310270611, 0.27169827938724384]]","[[0.6959739725759837, 0.33350978598678477, 0.3082706578745229], [0.33350978598678477, 0.7087291002604086, 0.350258520418522], [0.3082706578745229, 0.350258520418522, 0.6920213416170083]]",0.061863273,l3254217,m1026800,3,"{'a', 'b', 'c'}",False,False
ln5562934-1,line,3,"[[0.27001903752089, 0.10995066546782976, 0.11353849004463121], [0.10995066546782976, 0.2646337351077933, 0.1107469931027061], [0.11353849004463121, 0.1107469931027061, 0.27169827938724384]]","[[0.6959739725759836, 0.3335097859867847, 0.3082706578745229], [0.3335097859867847, 0.7087291002604085, 0.35025852041852196], [0.3082706578745229, 0.35025852041852196, 0.6920213416170082]]",0.058380279,m1026800,m1026797,3,"{'a', 'b', 'c'}",False,False
