,name,nodes,num_nodes,kv_base,distance,coord_defined,x,y,latitude,longitude,all_pce_active_bus,all_pde_active_bus,line_list,line_total_miles,load_list,section_id,total_customers,unique_node_number
0,sourcebus,"[1, 2, 3]",3,66.39528095680697,0.0,1,1695200.0,12278700.0,0.0,0.0,"['Vsource.source', 'Reactor.hvmv_sub_hsb']",['Reactor.hvmv_sub_hsb'],['None'],0.0,['None'],0,0,4
1,hvmv115_hsb1,"[1, 2, 3]",3,66.39528095680697,0.0,1,1695100.0,12278600.0,0.0,0.0,['None'],"['Line.hvmv115b1_sw', 'Reactor.hvmv_sub_hsb']",['LINE.hvmv115b1_sw'],0.0,['None'],0,0,4
2,hvmv115_hsb2,"[1, 2, 3]",3,66.39528095680697,0.0,1,1695000.0,12278500.0,0.0,0.0,['None'],"['Line.hvmv115b1_sw', 'Transformer.hvmv115_69sub']",['LINE.hvmv115b1_sw'],0.0,['None'],0,0,4
3,regxfmr_hvmv69sub1_lsb1,"[1, 2, 3]",3,39.83716857408418,0.0,1,1694900.0,12278400.0,0.0,0.0,['None'],"['Line.hvmv69s1b4_sw', 'Transformer.hvmv115_69sub']",['LINE.hvmv69s1b4_sw'],0.0,['None'],0,0,4
4,hvmv69sub1_lsb2,"[1, 2, 3]",3,39.83716857408418,0.0,1,1694800.0,12278300.0,0.0,0.0,['None'],"['Line.hvmv69s1b4_sw', 'Line.hvmv69s1b1_sw', 'Line.hvmv69s1b3_sw']","['LINE.hvmv69s1b4_sw', 'LINE.hvmv69s1b1_sw', 'LINE.hvmv69s1b3_sw']",0.0,['None'],0,0,4
5,hvmv69sub1_hsb,"[1, 2, 3]",3,39.83716857408418,0.0,1,1694600.0,12278100.0,0.0,0.0,['None'],"['Line.hvmv69s1b1_sw', 'Transformer.hvmv69_11sub1']",['LINE.hvmv69s1b1_sw'],0.0,['None'],0,0,4
6,hvmv11sub1_lsb,"[1, 2, 3]",3,7.199557856794634,0.0,1,1694400.0,12277900.0,0.0,0.0,['None'],"['Line.hvmv_sub_connector', 'Transformer.feeder_reg1a', 'Transformer.feeder_reg1b', 'Transformer.feeder_reg1c']",['LINE.hvmv_sub_connector'],0.0,['None'],0,0,4
7,hvmv_sub1_48332,"[1, 2, 3]",3,7.199557856794634,0.0,1,1694300.0,12277800.0,0.0,0.0,['None'],"['Line.hvmv_sub_connector', 'Line.ln5710794-3']","['LINE.hvmv_sub_connector', 'LINE.ln5710794-3']",0.0,['None'],0,0,4
8,d5710794-3_int,"[1, 2, 3]",3,7.199557856794634,0.0,1,1694200.0,12277700.0,0.0,0.0,['None'],"['Line.ln5710794-3', 'Line.hvmv69s1b2_sw']","['LINE.ln5710794-3', 'LINE.hvmv69s1b2_sw']",0.0,['None'],0,0,4
9,e192860,"[1, 2, 3]",3,7.199557856794634,0.0,1,1694100.0,12277600.0,0.0,0.0,['None'],"['Line.hvmv69s1b2_sw', 'Line.ln5815900-1']","['LINE.hvmv69s1b2_sw', 'LINE.ln5815900-1']",0.0,['None'],0,0,4
10,hvmv69s1s2_1,"[1, 2, 3]",3,39.83716857408418,0.0,1,1695000.0,12278100.0,0.0,0.0,['None'],"['Line.hvmv69s1b3_sw', 'Line.hvmv69s1s2-1']","['LINE.hvmv69s1b3_sw', 'LINE.hvmv69s1s2-1']",0.0,['None'],0,0,4
11,hvmv69s1s2_2,"[1, 2, 3]",3,39.83716857408418,0.0,1,1695300.0,12275000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-1', 'Line.hvmv69s1s2-2']","['LINE.hvmv69s1s2-1', 'LINE.hvmv69s1s2-2']",0.0,['None'],0,0,4
12,hvmv69s1s2_3,"[1, 2, 3]",3,39.83716857408418,0.0,1,1695200.0,12273000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-2', 'Line.hvmv69s1s2-3']","['LINE.hvmv69s1s2-2', 'LINE.hvmv69s1s2-3']",0.0,['None'],0,0,4
13,hvmv69s1s2_4,"[1, 2, 3]",3,39.83716857408418,0.0,1,1693000.0,12272000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-3', 'Line.hvmv69s1s2-4']","['LINE.hvmv69s1s2-3', 'LINE.hvmv69s1s2-4']",0.0,['None'],0,0,4
14,hvmv69s1s2_5,"[1, 2, 3]",3,39.83716857408418,0.0,1,1688000.0,12272000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-4', 'Line.hvmv69s1s2-5']","['LINE.hvmv69s1s2-4', 'LINE.hvmv69s1s2-5']",0.0,['None'],0,0,4
15,hvmv69s1s2_6,"[1, 2, 3]",3,39.83716857408418,0.0,1,1683000.0,12269000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-5', 'Line.hvmv69s1s2-6']","['LINE.hvmv69s1s2-5', 'LINE.hvmv69s1s2-6']",0.0,['None'],0,0,4
16,hvmv69s1s2_7,"[1, 2, 3]",3,39.83716857408418,0.0,1,1678000.0,12266500.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-6', 'Line.hvmv69s1s2-7']","['LINE.hvmv69s1s2-6', 'LINE.hvmv69s1s2-7']",0.0,['None'],0,0,4
17,hvmv69s1s2_8,"[1, 2, 3]",3,39.83716857408418,0.0,1,1675000.0,12265000.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-7', 'Line.hvmv69s1s2-8']","['LINE.hvmv69s1s2-7', 'LINE.hvmv69s1s2-8']",0.0,['None'],0,0,4
18,hvmv69s1s2_9,"[1, 2, 3]",3,39.83716857408418,0.0,1,1672000.0,12263200.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-8', 'Line.hvmv69s1s2-9']","['LINE.hvmv69s1s2-8', 'LINE.hvmv69s1s2-9']",0.0,['None'],0,0,4
19,hvmv69s1s2_10,"[1, 2, 3]",3,39.83716857408418,0.0,1,1669600.0,12261300.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-9', 'Line.hvmv69s1s2-10']","['LINE.hvmv69s1s2-9', 'LINE.hvmv69s1s2-10']",0.0,['None'],0,0,4
20,hvmv69sub2_lnb,"[1, 2, 3]",3,39.83716857408418,0.0,1,1669330.0,12261300.0,0.0,0.0,['None'],"['Line.hvmv69s1s2-10', 'Line.hvmv69s2b1_sw', 'Line.hvmv69s2b3_sw']","['LINE.hvmv69s1s2-10', 'LINE.hvmv69s2b1_sw', 'LINE.hvmv69s2b3_sw']",0.0,['None'],0,0,4
21,hvmv69sub2_hsb,"[1, 2, 3]",3,39.83716857408418,0.0,1,1669330.0,12261500.0,0.0,0.0,['None'],"['Line.hvmv69s2b1_sw', 'Transformer.hvmv69_11sub2']",['LINE.hvmv69s2b1_sw'],0.0,['None'],0,0,4
22,hvmv11sub2_lsb,"[1, 2, 3]",3,7.199557856794634,0.0,1,1669330.0,12261900.0,0.0,0.0,['None'],"['Line.hvmv69s2b2_sw', 'Transformer.feeder_reg2a', 'Transformer.feeder_reg2b', 'Transformer.feeder_reg2c']",['LINE.hvmv69s2b2_sw'],0.0,['None'],0,0,4
23,m1047300,"[1, 2, 3]",3,7.199557856794634,0.0,1,1669332.888,12262215.36,0.0,0.0,['None'],"['Line.hvmv69s2b2_sw', 'Line.ln5804836-1', 'Line.ln5774497-1']","['LINE.hvmv69s2b2_sw', 'LINE.ln5804836-1', 'LINE.ln5774497-1']",0.0,['None'],0,0,4
24,hvmv69s2s3_1,"[1, 2, 3]",3,39.83716857408418,0.0,1,1669100.0,12261300.0,0.0,0.0,['None'],"['Line.hvmv69s2b3_sw', 'Line.hvmv69s2s3-1']","['LINE.hvmv69s2b3_sw', 'LINE.hvmv69s2s3-1']",0.0,['None'],0,0,4
