name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d6504019-6_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186065,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186064,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186063,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209776,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209775,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209774,0.0,0.0,0.0,0.0,0.0,0.0
2129923c0b,l3123509,0.0,0.0,0.0,0.0,6.1,1.53
 ,m1209772,0.0,0.0,0.0,0.0,0.0,0.0
 ,e192258,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209der480-1,0.0,0.0,0.0,0.0,0.0,0.0
 ,p829977,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186061,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3139366,8.870000000000001,2.23,0.0,0.0,0.0,0.0
 ,m4362177,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1186052,0.0,0.0,0.0,0.0,0.0,0.0
 ,198-5320,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-311359,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3234149,88.68,22.22,97.26,24.38,101.7,25.49
 ,221-242079,0.0,0.0,0.0,0.0,0.0,0.0
2129466c0b,l3011293,17.740000000000002,4.45,19.45,4.88,20.34,5.1
157715b0b,l2936275,0.0,0.0,3.89,0.97,0.0,0.0
 ,l3179674,0.0,0.0,9.73,2.44,0.0,0.0
260457b0b,l3086079,0.0,0.0,3.89,0.98,0.0,0.0
 ,l2936276,0.0,0.0,3.89,0.98,0.0,0.0
260461b0b,l2861223,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
 ,m1209763,0.0,0.0,0.0,0.0,0.0,0.0
 ,m3036172,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209758,0.0,0.0,0.0,0.0,0.0,0.0
 ,p829979,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209748,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3142099,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1209749,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2748840,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1209750,0.0,0.0,0.0,0.0,0.0,0.0
260463b0b,l3086075,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1209751,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209752,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1209753,0.0,0.0,0.0,0.0,0.0,0.0
