name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d5895780-3_int,0.0,0.0,0.0,0.0,0.0,0.0
338941c0b,l2991914,0.0,0.0,0.0,0.0,6.1,1.52
 ,m1047503,0.0,0.0,0.0,0.0,0.0,0.0
21399099a0b,l2841635,5.32,1.33,0.0,0.0,0.0,0.0
 ,l2822869,8.870000000000001,2.22,0.0,0.0,0.0,0.0
 ,m1026808,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026807,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1140521,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3254217,0.0,0.0,0.0,0.0,10.17,2.55
 ,m1026800,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026797,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026796,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026795,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026786,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026785,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026783,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026780,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026774,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026769,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2841633,8.87,2.22,0.0,0.0,0.0,0.0
 ,d5534970-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,d6140776-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026784,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1140523,0.0,0.0,0.0,0.0,0.0,0.0
294786c0b,l2766724,0.0,0.0,0.0,0.0,6.1,1.53
21399171c0b,l2822870,0.0,0.0,0.0,0.0,6.1,1.53
 ,l2766725,0.0,0.0,0.0,0.0,6.1,1.53
 ,n1140522,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1140520,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2729410,0.0,0.0,0.0,0.0,10.17,2.55
 ,l3197641,5.32,1.3299999999999998,0.0,0.0,0.0,0.0
293592a0b,l2973161,13.3,3.34,0.0,0.0,0.0,0.0
 ,n1140524,0.0,0.0,0.0,0.0,0.0,0.0
