name,bus,P1,Q1,P2,Q2,P3,Q3
s52a,52,40.0,20.0,0.0,0.0,0.0,0.0
s53a,53,40.0,20.0,0.0,0.0,0.0,0.0
 ,54,0.0,0.0,0.0,0.0,0.0,0.0
s55a,55,19.65,9.83,0.0,0.0,0.0,0.0
 ,57,0.0,0.0,0.0,0.0,0.0,0.0
s56b,56,0.0,0.0,20.0,10.0,0.0,0.0
s58b,58,0.0,0.0,20.49,10.24,0.0,0.0
s60a,60,20.0,10.0,0.0,0.0,0.0,0.0
s59b,59,0.0,0.0,20.0,10.0,0.0,0.0
 ,61,0.0,0.0,0.0,0.0,0.0,0.0
s62c,62,0.0,0.0,0.0,0.0,39.78,19.89
s63a,63,40.0,20.0,0.0,0.0,0.0,0.0
s64b,64,0.0,0.0,76.2,35.56,0.0,0.0
s65c,65,44.2,45.4,35.43,25.42,58.56,27.89
s66c,66,0.0,0.0,0.0,0.0,75.0,35.0
 ,152,0.0,0.0,0.0,0.0,0.0,0.0
