name,bus,P1,Q1,P2,Q2,P3,Q3
 ,d2001301_int,0.0,0.0,0.0,0.0,0.0,0.0
2001302a0b,m2001302,8.82,4.99,0.0,0.0,0.0,0.0
 ,m2001303,12.91,7.32,0.0,0.0,0.0,0.0
 ,m2001304,9.62,5.46,0.0,0.0,0.0,0.0
 ,m2001305,10.86,6.15,0.0,0.0,0.0,0.0
 ,m2001306,9.47,5.37,0.0,0.0,0.0,0.0
 ,m2001307,13.99,7.92,0.0,0.0,0.0,0.0
 ,m2001308,14.65,8.3,0.0,0.0,0.0,0.0
2001309a0b,m2001309,8.25,4.67,0.0,0.0,0.0,0.0
2001310a0b,m2001310,18.15,10.29,0.0,0.0,0.0,0.0
2001311a0b,m2001311,16.04,9.09,0.0,0.0,0.0,0.0
2001312a0b,m2001312,14.54,8.24,0.0,0.0,0.0,0.0
2001313a0b,m2001313,22.37,12.68,0.0,0.0,0.0,0.0
 ,m2001314,21.45,12.15,0.0,0.0,0.0,0.0
 ,m2001315,19.93,11.3,0.0,0.0,0.0,0.0
