name,bus,P1,Q1,P2,Q2,P3,Q3
 ,m1069300,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069310,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069311,0.0,0.0,0.0,0.0,0.0,0.0
337684a0b,l3159448,8.87,2.23,0.0,0.0,0.0,0.0
 ,n1138607,0.0,0.0,0.0,0.0,0.0,0.0
 ,m4113347,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1144668,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069350,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3143999,8.870000000000001,2.23,0.0,0.0,0.0,0.0
 ,n1138604,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3125349,0.0,0.0,0.0,0.0,10.17,2.55
 ,n1138603,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3181545,0.0,0.0,0.0,0.0,6.1,1.53
 ,n1138599,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069376,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1138598,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2822877,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1069382,0.0,0.0,0.0,0.0,0.0,0.0
21386754a0b,l2766741,8.87,2.22,0.0,0.0,0.0,0.0
 ,m1069411,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1138597,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069417,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069418,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069419,0.0,0.0,0.0,0.0,0.0,0.0
 ,m4277837,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069420,0.0,0.0,0.0,0.0,0.0,0.0
337668b0b,l2935549,0.0,0.0,14.59,3.65,0.0,0.0
 ,m1069424,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069428,0.0,0.0,0.0,0.0,0.0,0.0
 ,q14411,0.0,0.0,0.0,0.0,0.0,0.0
 ,p827563,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1138595,0.0,0.0,0.0,0.0,0.0,0.0
 ,m3036167,0.0,0.0,0.0,0.0,0.0,0.0
21236413b0b,l3085391,0.0,0.0,19.45,4.88,0.0,0.0
337687b0b,l2973156,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1069285,0.0,0.0,0.0,0.0,0.0,0.0
 ,m4113348,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069284,0.0,0.0,0.0,0.0,0.0,0.0
 ,p850401,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-311583,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139250,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2821770,13.3,3.33,0.0,0.0,0.0,0.0
 ,m1069247,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069248,0.0,0.0,0.0,0.0,0.0,0.0
227917122a0b,l2915534,13.3,3.33,0.0,0.0,0.0,0.0
 ,193-48013,0.0,0.0,0.0,0.0,0.0,0.0
 ,p850400,0.0,0.0,0.0,0.0,0.0,0.0
 ,221-311595,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139251,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069249,0.0,0.0,0.0,0.0,0.0,0.0
227917130c0b,l2803194,0.0,0.0,0.0,0.0,15.26,3.82
 ,l3047073,0.0,0.0,0.0,0.0,10.17,2.54
 ,m1069250,0.0,0.0,0.0,0.0,0.0,0.0
227917127c0b,l2690868,0.0,0.0,0.0,0.0,20.34,5.1
 ,228-979371-2_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,d6049822-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069312,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069335,0.0,0.0,0.0,0.0,0.0,0.0
 ,p827564,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069348,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069356,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069363,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069364,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1069365,0.0,0.0,0.0,0.0,0.0,0.0
275008c0b,l3235243,0.0,0.0,0.0,0.0,10.17,2.5500000000000003
 ,n1138606,0.0,0.0,0.0,0.0,0.0,0.0
337666b0b,l3029518,0.0,0.0,9.73,2.44,0.0,0.0
 ,l2897807,0.0,0.0,5.84,1.4700000000000002,0.0,0.0
 ,p827576,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139256,0.0,0.0,0.0,0.0,0.0,0.0
337665b0b,l2973178,0.0,0.0,5.84,1.46,0.0,0.0
 ,p901910,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139257,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139252,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3122812,0.0,0.0,14.59,3.66,0.0,0.0
 ,p827499,0.0,0.0,0.0,0.0,0.0,0.0
 ,n1139254,0.0,0.0,0.0,0.0,0.0,0.0
